Tender Title,Tender Posted On,Closing On,Description,Ministry/Agency,Location,PDF Link,More Information
"Tender Notice – Supply and Delivery of Vehicle/Mechanical Equipment to the Point Fortin Borough Corporation, Ministry of Rural Development and Local Government",20 Mar 2023,,,,,https://www.finance.gov.tt/wp-content/uploads/2023/03/Tender-Notice-Supply-and-Delivery-of-Vehicle-Mechanical-Equipment-to-the-Point-Fortin-Borough-Corporation.pdf,https://www.finance.gov.tt/divisions/central-tenders-board/tenders-notices/
"Tender Notice – Supply and Delivery of Mechanical Equipment to the San Juan/Laventille Regional Corporation, Ministry of Rural Development and Local Government",7 Mar 2023,,,,,https://www.finance.gov.tt/wp-content/uploads/2023/03/Tender-Notice-Supply-and-Delivery-of-Mechanical-Equipment-to-the-San-Juan-Laventille-Regional-Corporation.pdf,https://www.finance.gov.tt/divisions/central-tenders-board/tenders-notices/
"Tender Notice – Maintenance and Servicing of Traffic Control Signals (Package C) for the Traffic Management Branch, Ministry of Works and Transport for a period of three (3) years",6 Mar 2023,,,,,https://www.finance.gov.tt/wp-content/uploads/2023/03/Tender-Notice-Maintenance-and-Servicing-of-Traffic-Control-Signals-Package-C-for-the-Traffic-Management-Branch.pdf,https://www.finance.gov.tt/divisions/central-tenders-board/tenders-notices/
Contracts Awarded by the Central Tenders Board for the month of January 2023,13 Feb 2023,,,,,https://www.finance.gov.tt/wp-content/uploads/2023/02/Contracts-Award-for-the-Month-of-January-2023.pdf,https://www.finance.gov.tt/divisions/central-tenders-board/tenders-notices/
"Tender Notice – Supply and Delivery of One (1) 25 Ton Fixed Goose Neck Trailer to the Couva/Tabaquite/Talparo Regional Corporation, Ministry of Rural Development and Local Government",8 Feb 2023,,,,,https://www.finance.gov.tt/wp-content/uploads/2023/02/Tender-Notice-Supply-and-Delivery-of-One-1-25-Ton-Fixed-Goose-Neck-Trailer-to-the-Couva-TabaquiteTalparo-Regional-Corporation.pdf,https://www.finance.gov.tt/divisions/central-tenders-board/tenders-notices/
"Tender Notice – Supply, Delivery, Installation, Testing and Commissioning of One (1) Full Load Emergency Generator, inclusive of Electrical Works for the Penal/Debe Regional Corporation, Ministry of Rural Development and Local Government",1 Feb 2023,,,,,https://www.finance.gov.tt/wp-content/uploads/2023/02/Tender-Notice-Supply-Delivery-Installation-Testing-and-Commissioning-of-One-1-Full-Load-Emergency-Generator-inclusive-of-Electrical-Works.pdf,https://www.finance.gov.tt/divisions/central-tenders-board/tenders-notices/
"Tender Notice – Supply and Delivery of Mechanical Equipment to the Penal/Debe Regional Corporation, Ministry of Rural Development and Local Government",31 Jan 2023,,,,,https://www.finance.gov.tt/wp-content/uploads/2023/01/Tender-Notice-Supply-and-Delivery-of-Mechanical-Equipment-to-the-Penal-Debe.pdf,https://www.finance.gov.tt/divisions/central-tenders-board/tenders-notices/
"Extension Notice – Supply, Delivery, Installation and Commissioning of Four (4) Large Scale Non-Intrusive Inspection, High, Medium Energy Mobile X-Ray Systems to the Customs and Excise Division, Ministry of Finance, Government of the Republic of Trinidad and Tobago",30 Jan 2023,,,,,https://www.finance.gov.tt/wp-content/uploads/2023/01/Extension-Notice-Supply-Delivery-Installation-and-Commissioning-of-Four-4-Large-Scale-Non-Intrusive-Inspection-High-Medium-Energy-Mobile-X-Ray-Systems.pdf,https://www.finance.gov.tt/divisions/central-tenders-board/tenders-notices/
"Tender Notice – Supply and Delivery of One (1) 4WD Backhoe Loader to the Couva/Tabaquite/Talparo Regional Corporation, Ministry of Rural Development and Local Government",17 Jan 2023,,,,,https://www.finance.gov.tt/wp-content/uploads/2023/01/Tender-Notice-Supply-and-Delivery-of-One-4WD-Backhoe-Loader-to-the-CouvaTabaquiteTalparo-Regional-Corporation.pdf,https://www.finance.gov.tt/divisions/central-tenders-board/tenders-notices/
Tender Notice – Consultancy Services for the Conduct of a Job Evaluation/Classification Exercise in respect of Offices in the Trinidad and Tobago Prison Service including the development of a Classification and Compensation Plan relevant to the needs of the Prison Service for the Personnel Department (Office of the Chief Personnel Officer),4 Jan 2023,,,,,https://www.finance.gov.tt/wp-content/uploads/2023/01/Tender-Notice-Consultancy-Services-for-the-Conduct-of-a-Job-Evaluation-Classification-Exercise-in-respect-of-Offices-in-the-Trinidad-and-Tobago-Prison-Service.pdf,https://www.finance.gov.tt/divisions/central-tenders-board/tenders-notices/
"Supply, Delivery, Installation and Commissioning of Four (4) Large Scale Non-Intrusive Inspection, High/Medium Energy Mobile X-Ray Systems to the Customs and Excise Division, Ministry of Finance, Government of the Republic of Trinidad and Tobago",22 Dec 2022,,,,,https://www.finance.gov.tt/wp-content/uploads/2022/12/International-Tender-Notice-Supply-Delivery-Installation-and-Commissioning-of-Four-Large-Scale-Non-Intrusive-Inspection-High-Medium-Energy-Mobile-X-Ray-Systems.pdf,https://www.finance.gov.tt/divisions/central-tenders-board/tenders-notices/
"Guyana Water Incorporated (GWI) invites Tenders for the following projects: 1. NCB No. GWI – GOG – W185 – 2023 Procurement of Works – Supply and Installation of Transmission Mains for Onderneeming Water Treatment Plant, Lot 1 (Riverstown to Suddie), Essequibo Coast, Region No. 2 The Government of Guyana has budgeted $362M for this project 2. NCB No. GWI – GOG – W186 – 2023 Procurement of Works – Supply and Installation of Transmission Mains for Onderneeming Water Treatment Plant, Lot 2 (Good Hope to Pomona), Essequibo Coast, Region No. 2 The Government of Guyana has budgeted $380M for this project 3. NCB No. GWI – GOG – W187 – 2023 Procurement of Works – Supply and Installation of Transmission Mains for Onderneeming Water Treatment Plant, Lot 3 (Suddie to Zorg-en-Vlygt), Essequibo Coast, Region No. 2 The Government of Guyana has budgeted $260M for this project",,08/15/23,,Guyana Water Incorporated (GWI),,,https://www.npta.gov.gy/procurement-opportunities/
Supply and Delivery of One (1) Canter Truck,,08/29/23,,National Parks Commission,,,https://www.npta.gov.gy/procurement-opportunities/
The Ministry of Education invites sealed bids from Reputable contractors for the following items: 1. Extension of Primary School Region No.1 - Sebai Primary School 2. Construction of Teachers Living Quarters Region No. 9 - Baitoon Primary School 3. Construction of Science Laboratory Region No.1 - Santa Rosa Secondary School 4. Construction of Teachers Living Quarters Region No. 9 - Bashaizon Primary School 5. Construction of Hanger - Linden Technical Institute 6. Construction and Furnishing of Home Economics and Industrial Arts Building Region No. 10 - St. Cuthbuerts 7. Construction of Information Technology Laboratory - St. Pauls Primary,,07/18/23,,MINISTRY OF EDUCATION,,,https://www.npta.gov.gy/procurement-opportunities/
The Ministry of Education invites sealed bids from Reputable contractors for the following items: 1. Retrofitting of Space for Smart Classroom - Cotton Tree Primary 2. Retrofitting of Space for Smart Classroom – Cumberland Primary 3. Refurbishing of Information Technology Laboratory - Riverstone Primary School,,07/19/23,,MINISTRY OF EDUCATION,,,https://www.npta.gov.gy/procurement-opportunities/
Procurement of Vehicle Spares – Guyana Fire Service,,07/18/23,,MINISTRY OF HOME AFFAIRS,,,https://www.npta.gov.gy/procurement-opportunities/
"Construction of Central Stores, Hinterland Scholarship Dormitory Lilliendaal.",,07/04/23,,Ministry of Amerindian Affairs,,,https://www.npta.gov.gy/procurement-opportunities/
Procurement of Metrology Equipment Lots 1-4.,,07/04/23,,GUYANA NATIONAL BUREAU OF STANDARDS CO-OPERATIVE REPUBLIC OF GUYANA,,,https://www.npta.gov.gy/procurement-opportunities/
1. Procurement of Drugs & Medical Supplies – Guyana Fire Service 2. Procurement of Uniform Materials – Guyana Fire Service,,06/20/23,,MINISTRY OF HOME AFFAIRS,,,https://www.npta.gov.gy/procurement-opportunities/
"• Procurement of Information Technology Hardware, Ministry of Finance • Procurement of NPTA Re-cabling and Direct Links to MoF Data Centre, Ministry of Finance",,6/20/2023,,Ministry of Finance,,,https://www.npta.gov.gy/procurement-opportunities/
"Construction of Kwebana Secondary School, Region No.1 Construction of Hosororo Secondary School, Region No.1 Construction of Jawalla Secondary School, Region No.7 Construction of Kopinang Secondary School, Region No. Construction of a Modern School Building/Complex to House 800 students, Tuschen West Bank Demerara Region No.3 Construction and Furnishing of Teachers Living Quarters - Eteringbang (Cuyuni Mazaruni) Region No.7 Construction and Furnishing of Teachers Living Quarters - Bartica (Cuyuni Mazaruni) Region No.7",,6/8/2023,,Ministry of Education,,,https://www.npta.gov.gy/procurement-opportunities/
"Extension of Transmission and Distribution Mains at Meten Meer Zorg New Housing Scheme. W.C.D, Region No. 3 Extension of Transmission Mains at Fellowship, W.C.D, Region No. 3 Extension of Transmission and Distribution Mains at Lusten Rust, Recht Dorzee, Onderneeming and West Minister, W.B.D Region No. 3 Construction of GWI Building in Mabaruma, Region No. 1 Drilling of Well at Anna Catherina, W.C.D, Region No. 3",,06/06/2023,,Guyana Water Inc.,,,https://www.npta.gov.gy/procurement-opportunities/
,,,,,,,https://www.npta.gov.gy/procurement-opportunities/
"Printing and Compilations of old age Pension, Public Assistance and Permanently Disabled Booklets for 2024",,06/01/2023,,Ministry of Human Service and Social Securities,,,https://www.npta.gov.gy/procurement-opportunities/
"CAPITAL WORKS: (a) Construction of GIS Building – Base Camp Ayanganna (b) Drilling of Potable Water Well – Air Station London, Timehri",,03/28/23,,GUYANA DEFENCE FORCE,,,https://www.npta.gov.gy/procurement-opportunities/
"CAPITAL WORKS (a) Drilling of Potable Water Well – Air Station London, Timehri CAPITAL ITEMS (b) Procurement of Reconditioned Four Door Sedans",,,,GUYANA DEFENCE FORCE,,,https://www.npta.gov.gy/procurement-opportunities/
"1. Supply and Delivery of Geotextile Tubes 2. Construction of 400m geotextile tube groynes along the foreshore of Paradise to Jib, Region No. 2 3. Construction of 300m Timber Breakwater along the foreshore of Dantzig, Region No. 5",,03/28/23,,Ministry of Agriculture National Agricultural Research & Extension Institute,,,https://www.npta.gov.gy/procurement-opportunities/
"Lot 1-3 Construction of Sheep Pen at GLDA Farm, Mon Repos, Region No.4 Lot 4- Construction of Sheep Pen at Farm, Ebini, Region No.9 Construction of Bull Exercise Facility at GLDA Farm, Mon Repos, Region No.4",,04/04/23,,Ministry of Agriculture GUYANA LIVESTOCK DEVELOPMENT AUTHORITY,,,https://www.npta.gov.gy/procurement-opportunities/
 Supply and Delivery of One (1) double cab pick up and one (1) 15-seater Bus (Land Transport)  Supply and Delivery of Furniture and Equipment- Lot 1 and 2,,04/18/23,,Ministry of Human Services and Social Security,,,https://www.npta.gov.gy/procurement-opportunities/
A) Rehabilitation of Western Boundary Fence B) Rehabilitation of Southern Boundary Fence C) Upgrading of IAST Washroom,,04/18/23,,THE INSTITUTE OF APPLIED SCIENCE AND TECHNOLOGY (IAST),,,https://www.npta.gov.gy/procurement-opportunities/
"1. Procurement of Uniform Materials, Drugs & Medical, Field Materials & Janitorial Supplies Lots 1-4 – Guyana Police Force 2. Procurement of Generator – Guyana Fire Service",,04/11/23,,MINISTRY OF HOME AFFAIRS,,,https://www.npta.gov.gy/procurement-opportunities/
